Founded Date,Founded Date Precision,Organization Name,Organization Name URL,Categories,Description,Headquarters Location,Headquarters Regions,Operating Status,Hub Tags,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Acquisitions,Acquisition Status
2017-06-29,day,Yapily,https://www.crunchbase.com/organization/yapily-ltd,"Computer Vision, FinTech, Software",Yapily is how companies connect to banks via API,"London, England, United Kingdom",European Union (EU),Active,,1,Seed,2017-11-23,,,,Seed,,,,,
2013-10-01,month,TransferFriend,https://www.crunchbase.com/organization/transferfriend,"Artificial Intelligence, Finance, Financial Services, FinTech, Mobile Payments, Payments",Online money transfer with AI powered financial education,"Kuala Lumpur, Kuala Lumpur, Malaysia","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",Active,,1,Seed,2016-09-01,,,,Angel,,,,,
2015-05-07,day,DeepEyes,https://www.crunchbase.com/organization/deep-eyes,"Analytics, Artificial Intelligence, Big Data, Computer Vision, Data Mining, FinTech, Internet of Things, Machine Learning, Security","DeepEyes is an A.I. technology based on video-generated data: highly accurate, real time, on-device, with standard hardware/cameras.","Munich, Bayern, Germany",European Union (EU),Active,,1,Seed,2015-06-08,,,,Seed,,,,,
2014-12-15,day,Whitespace Global Limited,https://www.crunchbase.com/organization/whitespace-ventures,"Artificial Intelligence, Business Development, FinTech, Information Technology, Machine Learning",innovative Tech Company,"London, England, United Kingdom",European Union (EU),Active,,,,,,,,,,,,,
2015-01-01,year,Creditas Solutions,https://www.crunchbase.com/organization/creditas-solutions,"Financial Services, FinTech, Information Technology, Innovation Management, Machine Learning",Creditas was set-up in 2015 with an aim to help Financial Institutions find better ways to reach and interact with their customers.,"Gurgaon, Haryana, India",Asia-Pacific (APAC),Active,,1,Seed,2018-03-26,,,,Seed,,,,,
2015-08-03,day,Finanzguru by dwins GmbH,https://www.crunchbase.com/organization/finanzguru-by-dwins-gmbh,"Artificial Intelligence, FinTech",AI based financial assistant,"Frankfurt, Hessen, Germany",European Union (EU),Active,,,,,,,,,,,,,
2013-03-06,day,Moneythor,https://www.crunchbase.com/organization/moneythor,"Banking, Developer APIs, Enterprise Software, Financial Services, FinTech, Marketing Automation, Personal Finance, Predictive Analytics",Moneythor is a financial technology company delivering better digital banking for customers and enhanced marketing & analytics for banks.,,,Active,,,,,,,,,,,,,
2016-12-06,day,Deep Labs,https://www.crunchbase.com/organization/deep-labs,"Artificial Intelligence, Banking, FinTech, Intelligent Systems, Machine Learning, Mobile Payments, Payments, Retail, Risk Management, Sensor","Powered by our patented persona intelligence-based decisioning platform, we enable next generation risk services.","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,,,,,,,,,,,,,
1978-10-01,day,MicroBilt Corporation,https://www.crunchbase.com/organization/microbilt-corporation,"B2B, Big Data, FinTech, Fraud Detection, Payments, Predictive Analytics, Risk Management",MicroBilt Corporation provides decision critical information that helps businesses to reduce risk.,"Kennesaw, Georgia, United States","Greater Atlanta Area, East Coast, Southern US",Active,,,,,,,,,,,,1,Made Acquisitions
2016-01-01,year,Nethone,https://www.crunchbase.com/organization/nethone,"Artificial Intelligence, Big Data, Business Intelligence, Cyber Security, Fraud Detection, Machine Learning, Risk Management","Nethone is A.I.-powered KYU (Know Your Users) solutions that help convert threats and challenges into well-informed, profitable decisions.","Warsaw, Mazowieckie, Poland",European Union (EU),Active,,,,,,,,,,,,,
2005-01-01,year,ClosingCorp,https://www.crunchbase.com/organization/closingcorp,"Data Visualization, FinTech, Information Services, Real Estate","ClosingCorp, the parent company of Closing.com and SmartGFE.com, is a real estate information and data services company based in La Jolla,","La Jolla, California, United States","Greater San Diego Area, West Coast, Western US",Active,,,,,,,,,,,,,
2015-10-01,day,Enforcd,https://www.crunchbase.com/organization/enforcd,"Artificial Intelligence, Compliance, Corporate Training, E-Learning, Financial Services, Information Services, Machine Learning, Risk Management",Enforcd is a global regulatory intelligence platform that helps banks and others stay up to date with regulatory change and identify risks.,"London, England, United Kingdom",European Union (EU),Active,,,,,,,,,,,,,
2015-05-01,month,Bkper,https://www.crunchbase.com/organization/bkper,"Accounting, Artificial Intelligence, Collaboration, Google","Bkper simplifies finances, with a collaborative bookkeeping workspace for G Suite.","Belo Horizonte, Minas Gerais, Brazil",,Active,,1,Seed,2018-01-29,,,,Seed,,,,,
2016-06-01,day,1Kosmos - BlockID,https://www.crunchbase.com/organization/1kosmos-blockid,"Artificial Intelligence, Biometrics, Blockchain, Consumer Software, Cyber Security, E-Signature, Enterprise Software, Ethereum, Facial Recognition, Identity Management, Information Technology, Machine Learning, Network Security, Security, Software, Software Engineering, Speech Recognition",BlockID by OneKosmos enables authentication of decentralized verified digital identities on the blockchain using biometrics.,"Mississauga, Ontario, Canada",Great Lakes,Active,,,,,,,,,,,,,
2016-01-01,year,Barac,https://www.crunchbase.com/organization/barac,"Analytics, Big Data, Cyber Security, Fraud Detection, Information Technology, Machine Learning, Risk Management",Barac is an advanced streaming analytics platform helping businesses and organisations take real time decisions.,"London, England, United Kingdom",European Union (EU),Active,,1,Seed,2017-01-01,,,,Seed,,,,,
2015-04-01,month,ODN,https://www.crunchbase.com/organization/open-data-nation,"Analytics, Artificial Intelligence, Auto Insurance, Commercial Insurance, Insurance, InsurTech, Machine Learning, Property Insurance, Smart Cities",Measuring the world of risk around you,"Washington, District of Columbia, United States","Washington DC Metro Area, Southern US",Active,,1,Seed,2018-05-15,,,,Seed,,,,,
2015-01-01,year,Stakana Analytics,https://www.crunchbase.com/organization/stakana-analytics,"Analytics, Artificial Intelligence, Big Data, FinTech, Machine Learning",Saas Platform offering predictive customer intelligence for small- and mid-sized banks and credit unions to increase retention & engagement.,"Seattle, Washington, United States","Greater Seattle Area, West Coast, Western US",Active,,1,Seed,2018-10-15,,,,Seed,,,,,
2016-01-01,year,Neuroprofiler,https://www.crunchbase.com/organization/neuroprofiler,"Banking, Compliance, Finance, Machine Learning, Wealth Management",Neuroprofiler is a behavioral finance game to help financial advisors assess the investor profile.,"Paris, Ile-de-France, France",European Union (EU),Active,,1,,2017-03-01,,,,Non-equity Assistance,,,,,
2017-08-01,month,Lunar Digital Assets,https://www.crunchbase.com/organization/lunar-digital-assets,"Artificial Intelligence, Asset Management, Big Data, Blockchain, Cryptocurrency, Market Research","Financial Research, Insights, And Tools For The Next-generation","West Hollywood, California, United States","Greater Los Angeles Area, West Coast, Western US",Active,,1,Seed,2018-03-01,,,,Seed,,,,,
2014-08-01,day,ROKITT,https://www.crunchbase.com/organization/rokitt-inc,"Big Data, Data Visualization, FinTech, Information Technology, Machine Learning, Software",Unique data product that allows organizations to discover data relationships and data flows across enterprise,"Jersey City, New Jersey, United States","Greater New York Area, East Coast, Northeastern US",Active,,,M&A,,,,,,,,,,Was Acquired
2016-05-10,day,"ThirdWatch, Stopping Fraud and RTO using AI",https://www.crunchbase.com/organization/thirdwatch-preventing-e-commerce-fraud,"Artificial Intelligence, E-Commerce, FinTech, Fraud Detection","Thirdwatch prevents fraud in digital, banking and e-commerce transactions in real time using AI. https://www.youtube.com/watch?v=_0BeScGNp8A","Gurgaon, Haryana, India",Asia-Pacific (APAC),Active,,1,Seed,2017-10-10,,,,Seed,,,,,
1998-01-01,year,"Questica, Inc.",https://www.crunchbase.com/organization/questica-inc,"Application Performance Management, Cloud Computing, Data Integration, Data Visualization, FinTech, Software","Questica’s software suite includes fully featured web-based budgeting, performance and data visualization solutions.","Burlington, Ontario, Canada",Great Lakes,Active,,,M&A,,,,,,,,,,Was Acquired
2017-12-01,day,QuantumSense,https://www.crunchbase.com/organization/quantumsense,"Artificial Intelligence, FinTech, InsurTech, Machine Learning",QuantumSense is an artificial intelligence company that provides a top semantic search engine that works on the sentence level.,"Toronto, Ontario, Canada",Great Lakes,Active,,1,Seed,2018-11-19,,,,Seed,,,,,
2009-02-16,day,Mantra Labs pvt Ltd,https://www.crunchbase.com/organization/mantra-labs-pvt-ltd,"Artificial Intelligence, Industrial Automation, InsurTech, Internet of Things, Machine Learning, Web Development","Mantra Labs, a product company, brings a strong product consulting experience to the IT services sector, IoT, AI and social selling space.","Bengaluru, Karnataka, India",Asia-Pacific (APAC),Active,,,,,,,,,,,,,
2016-01-01,year,Basiq,https://www.crunchbase.com/organization/basiq,"Banking, Finance, Machine Learning",Basiq is the best aggregation platform for acquiring financial data.,"Sydney, New South Wales, Australia","Asia-Pacific (APAC), Australasia",Active,,1,Seed,2017-06-07,,,,Seed,,,,,
2016-09-01,month,weXelerate GmbH,https://www.crunchbase.com/organization/wexelerate-gmbh,"Artificial Intelligence, Banking, Big Data, Blockchain, Broadcasting, Business Development, Cyber Security, Delivery, Digital Media, Energy, Energy Efficiency, Energy Management, Financial Services, FinTech, Industrial, Industrial Automation, Insurance, InsurTech, Internet of Things, IT Infrastructure, Logistics, Media and Entertainment, Mobile Advertising, Mobile Devices, Mobile Payments, News, Publishing, Smart Building, Smart Home, Social Media, Telecommunications, Video Streaming",Europe's biggest and smartest startup&innovation hub,"Vienna, Wien, Austria",European Union (EU),Active,,,,,,,,,,,,,
2014-06-01,day,GroupSense,https://www.crunchbase.com/organization/groupsense,"Artificial Intelligence, Cyber Security, Information Technology, Network Security, Risk Management, Security",GroupSense is a provider of cyber intelligence services. ,"Arlington, Virginia, United States","Washington DC Metro Area, East Coast, Southern US",Active,,1,Seed,2016-12-30,,,,Seed,,,,1,Made Acquisitions
2012-01-01,year,TransCard,https://www.crunchbase.com/organization/transcard,"B2B, Banking, Data Visualization, Financial Services, FinTech, Gift Card, Mobile, Transaction Processing",TransCard is a financial-technology company focused on account-based payment solutions and a corporate funds disbursement gateway.,"Chattanooga, Tennessee, United States",Southern US,Active,,,,,,,,,,,,1,Made Acquisitions
2016-01-01,year,Finfox,https://www.crunchbase.com/organization/finfox,"FinTech, Machine Learning",Finfox takes care of finance functions for startups and SMBs saving them time and money.,"Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,,2,Seed,2016-11-26,,,,Angel,,,,,
2015-05-01,month,FeedStock,https://www.crunchbase.com/organization/feedstock,"Finance, Financial Services, FinTech, Machine Learning, Software, Web Development",FeedStock is a analytics and workstream solutions provider for the financial services industry.,"London, England, United Kingdom",European Union (EU),Active,,2,,2018-08-06,,,,Venture - Series Unknown,,,,,
2001-01-01,year,RiskSpan,https://www.crunchbase.com/organization/riskspan,"Analytics, Data Visualization, Risk Management","RiskSpan offers end-to-end solutions for data management, risk management analytics, and visualization.","Arlington, Virginia, United States","Washington DC Metro Area, East Coast, Southern US",Active,,,,,,,,,,,,,
1968-01-01,year,Innovative Systems,https://www.crunchbase.com/organization/innovative-systems,"Data Visualization, Enterprise Software, Risk Management",Innovative Systems is a global leader in the development and delivery of high-performance enterprise data management and risk management,"Pittsburgh, Pennsylvania, United States","Great Lakes, Northeastern US",Active,,,,,,,,,,,,,
